strain	accession	strain_name	date	host	country	virus	subtype	type	sequence_locus
oc43/KF572819/039A_07/2007	KF572819	039A_07	2007-04-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572820/079A_07/2007	KF572820	079A_07	2007-06-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572821/10108_10/2010	KF572821	10108_10	2010-05-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572822/10285_10/2010	KF572822	10285_10	2010-07-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572823/10290_10/2010	KF572823	10290_10	2010-07-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572824/1034A_08/2008	KF572824	1034A_08	2008-11-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572825/10574_10/2010	KF572825	10574_10	2010-09-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572826/1081A_08/2008	KF572826	1081A_08	2008-11-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572827/1135A_08/2008	KF572827	1135A_08	2008-12-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572828/1157A_08/2008	KF572828	1157A_08	2008-12-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572830/1216A_08/2008	KF572830	1216A_08	2008-12-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572831/12689_12/2012	KF572831	12689_12	2012-05-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572832/12691_12/2012	KF572832	12691_12	2012-05-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572833/12694_12/2012	KF572833	12694_12	2012-05-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572834/1357A_09/2009	KF572834	1357A_09	2009-02-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572835/1382A_09/2009	KF572835	1382A_09	2009-02-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572836/1591A_09/2009	KF572836	1591A_09	2009-08-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572837/1593A_09/2009	KF572837	1593A_09	2009-08-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572838/2134A_10/2010	KF572838	2134A_10	2010-07-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572839/2151A_10/2010	KF572839	2151A_10	2010-07-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572816/229_05/2005	KF572816	229_05	2005-06-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572841/3269A_12/2012	KF572841	3269A_12	2012-06-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572817/3582_06/2006	KF572817	3582_06	2006-09-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572818/3647_06/2006	KF572818	3647_06	2006-10-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572842/4795_07/2007	KF572842	4795_07	2007-03-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572843/4954_07/2007	KF572843	4954_07	2007-03-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572844/5240_07/2007	KF572844	5240_07	2007-03-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572845/5331_07/2007	KF572845	5331_07	2007-03-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572846/5345_07/2007	KF572846	5345_07	2007-03-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572847/5352_07/2007	KF572847	5352_07	2007-03-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572848/5370_07/2007	KF572848	5370_07	2007-03-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572849/5414_07/2007	KF572849	5414_07	2007-06-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572850/5442_07/2007	KF572850	5442_07	2007-06-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572851/5445_07/2007	KF572851	5445_07	2007-06-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572852/5472_07/2007	KF572852	5472_07	2007-06-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572853/5479_07/2007	KF572853	5479_07	2007-06-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572854/5484_07/2007	KF572854	5484_07	2007-06-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572855/5485_07/2007	KF572855	5485_07	2007-06-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572856/5508_07/2007	KF572856	5508_07	2007-06-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572857/5517_07/2007	KF572857	5517_07	2007-06-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572858/5519_07/2007	KF572858	5519_07	2007-06-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572859/5566_07/2007	KF572859	5566_07	2007-06-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572860/5595_07/2007	KF572860	5595_07	2007-07-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572861/5617_07/2007	KF572861	5617_07	2007-07-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572862/5625_07/2007	KF572862	5625_07	2007-07-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572863/5656_07/2007	KF572863	5656_07	2007-07-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572864/69A_07/2007	KF572864	69A_07	2007-05-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KF572865/8099_09/2009	KF572865	8099_09	2009-02-XX	Human	China	Betacoronavirus_1	oc43	beta	full
